"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2018-05-26"
"Position","Track Name","Artist","Streams","URL","2018-05-26"
"1","One Kiss (with Dua Lipa)","Calvin Harris","4273212","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2018-05-26"
"2","Better Now","Post Malone","4188619","https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK","2018-05-26"
"3","Nice For What","Drake","3767106","https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN","2018-05-26"
"4","God's Plan","Drake","3443445","https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY","2018-05-26"
"5","no tears left to cry","Ariana Grande","3244788","https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9","2018-05-26"
"6","This Is America","Childish Gambino","3219546","https://open.spotify.com/track/0b9oOr2ZgvyQu88wzixux9","2018-05-26"
"7","X","Nicky Jam","3141284","https://open.spotify.com/track/39N9RPD9MRb5WmoLzNzPeA","2018-05-26"
"8","Te Boté - Remix","Nio Garcia","3000590","https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i","2018-05-26"
"9","FRIENDS","Marshmello","2702491","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2018-05-26"
"10","I Like It","Cardi B","2701983","https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z","2018-05-26"
"11","Psycho (feat. Ty Dolla $ign)","Post Malone","2699908","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2018-05-26"
"12","Yes Indeed","Lil Baby","2392071","https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ","2018-05-26"
"13","In My Blood","Shawn Mendes","2324973","https://open.spotify.com/track/21YnmkSDhUkmkkni22Svc4","2018-05-26"
"14","Back To You","Selena Gomez","2321933","https://open.spotify.com/track/514rhnksEwHUh6LxXsQ4Y9","2018-05-26"
"15","rockstar (feat. 21 Savage)","Post Malone","2193106","https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt","2018-05-26"
"16","The Middle","Zedd","2163567","https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m","2018-05-26"
"17","Love Lies (with Normani)","Khalid","2140552","https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk","2018-05-26"
"18","Nevermind","Dennis Lloyd","2072056","https://open.spotify.com/track/63SevszngYpZOwf63o61K4","2018-05-26"
"19","Freaky Friday (feat. Chris Brown)","Lil Dicky","1970707","https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ","2018-05-26"
"20","Youth feat. Khalid","Shawn Mendes","1963790","https://open.spotify.com/track/5SwEgzUFDHwpWHKrbnP32Z","2018-05-26"
"21","Flames","David Guetta","1960835","https://open.spotify.com/track/33IOhptvC2Qoy2UhjiHXLV","2018-05-26"
"22","Look Alive (feat. Drake)","BlocBoy JB","1959901","https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL","2018-05-26"
"23","Lucid Dreams","Juice WRLD","1927476","https://open.spotify.com/track/0X8DcetL926BYiPJYstJTc","2018-05-26"
"24","Youngblood","5 Seconds of Summer","1892940","https://open.spotify.com/track/55S2PQgSMYAhgoTCcGCDfw","2018-05-26"
"25","IDGAF","Dua Lipa","1891764","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2018-05-26"
"26","Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky","1851948","https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z","2018-05-26"
"27","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","Rudimental","1798011","https://open.spotify.com/track/5CLGzJsGqhCEECcpnFQA8x","2018-05-26"
"28","Me Niego","Reik","1714770","https://open.spotify.com/track/6jA8JUuPCGYjFcgw0AoM5T","2018-05-26"
"29","Nervous","Shawn Mendes","1646371","https://open.spotify.com/track/0Dq49j3dELbttQVUJbtn0c","2018-05-26"
"30","Call Out My Name","The Weeknd","1646117","https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N","2018-05-26"
"31","Solo (feat. Demi Lovato)","Clean Bandit","1626693","https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6","2018-05-26"
"32","OTW","Khalid","1577792","https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI","2018-05-26"
"33","Playinwitme (feat. Kehlani)","KYLE","1574830","https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr","2018-05-26"
"34","Meant to Be (feat. Florida Georgia Line)","Bebe Rexha","1528436","https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn","2018-05-26"
"35","Remind Me to Forget","Kygo","1525997","https://open.spotify.com/track/6xTU6B6nFwKKTSZ9ySXS80","2018-05-26"
"36","Havana (feat. Young Thug)","Camila Cabello","1515249","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2018-05-26"
"37","Sin Pijama","Becky G","1513542","https://open.spotify.com/track/2ijef6ni2amuunRoKTlgww","2018-05-26"
"38","FAKE LOVE","BTS","1501304","https://open.spotify.com/track/3aW0ds4A4tSQDIp75FqWTo","2018-05-26"
"39","Paranoid","Post Malone","1464429","https://open.spotify.com/track/3fpVWegR6YOS1Yk5HSMYIq","2018-05-26"
"40","1, 2, 3 (feat. Jason Derulo & De La Ghetto)","Sofia Reyes","1445866","https://open.spotify.com/track/4QtiVmuA88tPQiCOHZuQ5b","2018-05-26"
"41","2002","Anne-Marie","1440951","https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB","2018-05-26"
"42","SAD!","XXXTENTACION","1423907","https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2","2018-05-26"
